platform,title,channel,published_at,public_view_count,checked_at_utc,canonical_url,topic,primary_hook,inclusion_reason,verification_surface
YouTube,호주 입국시 이거 가져오면 최소 벌금이에요❌,도행러,2025-08-15T12:21:52Z,118979,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=YNH1IDGNZFc,미니멀 여행,D 비용·짐·동선 절감,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,커플 여행 갔다가 들어가면 안 될 섬에 들어갔습니다,총몇명,2026-04-11T09:00:31Z,1735025,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=FXb1k5UYyn4,부부 여행,F 관계의 마찰·합의,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,하와이 신혼여행의 상상과 현실 #shorts,김승혜,2025-04-25T10:01:17Z,2256291,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=nVhu82tKsn8,신혼여행,E 기대 vs 실제 / 실수·수정,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,"1n년째 함께한 순간을 붙여가는 중, 우리가 여행을 기록하는 방법💚🧩",anotherdoor_travel,2025-07-21T15:03:42Z,774426,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=hrEqvG9f2eU,여행 기록,H 기록 방식 / 남긴 것,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,대한항공 비행기 몽골행 난기류 #난기류 #대한항공 #몽골 #울란바토르 #텐진공항상공 #비행기 #난기류,뚝딱LIFE.,2024-08-04T03:09:46Z,3508196,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=MKrKl0GDyp4,여행 준비/짐,J 특정 상황의 실행 팁,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,기내 수하물 1cm 초과에 11만 원? 이 여성의 분노가 터졌다!,쇼글쇼글,2025-08-02T08:00:14Z,8322386,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=JY7qhKU-Yoo,여행 후기/장면,C 숫자·기간·규모 대비,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,제주도 한 달 살기 솔직 후기ㅋㅋ,슈트맨,2025-02-05T07:00:13Z,506132,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=Q66mL0JnIuc,장기여행/한달살기,G 현지의 비관광 장면,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,상하이 1편 - 5박6일 배낭 짐싸기,gogossi 고고씨,2025-04-01T10:01:03Z,115619,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=lWx9HyIIWsc,미니멀 여행,C 숫자·기간·규모 대비,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,커플 여행 가서 따로 자자는 애인;;,십이층,2025-10-29T03:00:50Z,1648728,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=XVWwuZO-ays,부부 여행,F 관계의 마찰·합의,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,신혼여행 2번씩 간 여자들의 솔직한 후기,1분순삭,2025-10-24T02:00:39Z,1297781,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=Y1igHhOapnQ,신혼여행,F 관계의 마찰·합의,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,나트랑 숙소에 300만원 쓰고 알려주는 1등 리조트 #나트랑여행 #나트랑 #퓨전리조트 #여행브이로그 #베트남여행,뉴녕,2025-04-14T01:32:58Z,745355,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=F9niD4D8c9c,여행 기록,H 기록 방식 / 남긴 것,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,승무원 친구가 알려준 여행 짐싸기 팁 7가지✈️,퇴근후살림,2026-07-13T08:17:32Z,3359333,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=-h5dcbUl-3k,여행 준비/짐,C 숫자·기간·규모 대비,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,북한 고려항공을 타면 벌어지는 일,해외여행이슈,2025-07-09T22:00:55Z,7198756,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=nPHYtXV37dY,여행 후기/장면,C 숫자·기간·규모 대비,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,태국 치앙마이 한달살기 단점,계획왕 제이의 여행,2025-04-19T09:00:36Z,450310,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=Pr2m8rCw4nU,장기여행/한달살기,E 기대 vs 실제 / 실수·수정,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,수학여행 가방으로 보는 맥시멀리스트 VS 미니멀리스트,DOL 저장소,2025-10-17T13:01:54Z,111446,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=qR8w_cfPr4A,미니멀 여행,J 특정 상황의 실행 팁,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,장기 연애 커플 여행 특징 #환승연애4,디글 :Diggle,2025-10-08T13:00:24Z,1487837,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=CQoOVwe3k_c,부부 여행,F 관계의 마찰·합의,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,몰디브 신혼여행에 1000만원 태우고 텅장된 썰,놀자고,2025-03-28T09:00:15Z,1001352,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=Bhb8tBCkSJs,신혼여행,F 관계의 마찰·합의,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,우재 지원의 후쿠오카 여행 기록,신우지 SHINWOOJI,2025-11-16T03:30:55Z,736342,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=q9xyMqoQiDY,여행 기록,H 기록 방식 / 남긴 것,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,일본여행 입국심사 특,데눈데로 デヌンデロ,2024-12-05T04:19:40Z,3037288,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=2GqW1yLFMpM,여행 준비/짐,C 숫자·기간·규모 대비,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
